jobtitle,company,city,state,country,formattedLocation,source,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,noUniqueUrl
"Retail Sales Consultant Dallas TX (Park Lane\Dallas Area)","AT&T","Dallas","TX","US","Dallas, TX","AT&T","Fri, 25 Dec 2015 14:14:00 GMT","There are retail jobs, and there are retail careers. As a Retail Sales Consultant, you’ll belong to a supportive team in a fast-paced environment....","http://www.indeed.com/viewjob?jk=1717944df355bddc&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaM8TIMAEkUH8PxiEn_8R2TjBY_y8p0WUK9-Zll8go052cktPcgXrWU9PBadjaohTO6DBfhE8IgzO_q_LQgY-_NZ&indpubnum=4336336693914377&atk=1a7kk71vc544rahu","indeed_clk(this, '5728');","1717944df355bddc","false","false","false","Dallas, TX","3 days ago","false"
"Retail Operations Manager Trainee - Dallas, TX (120)","Office Depot","Dallas","TX","US","Dallas, TX","Office Depot OfficeMax","Sat, 12 Dec 2015 05:12:59 GMT","Business, Marketing, Retail Management, or other related field preferred. Minimum two years of experience in retail, supervisory experience in a sales driven...","http://www.indeed.com/viewjob?jk=52d53ccf27d74f9d&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaM8TIMAEkUH8PxiEn_8R2TjBY_y8p0WUK9-Zll8go052cktPcgXrWU9PBadjaohTO6DBfhE8IgzO_q_LQgY-_NZ&indpubnum=4336336693914377&atk=1a7kk71vc544rahu","indeed_clk(this, '5728');","52d53ccf27d74f9d","false","false","false","Dallas, TX","16 days ago","false"
"Director - Retail and CPG Consulting","Cognizant","Dallas","TX","US","Dallas, TX","Cognizant","Tue, 22 Dec 2015 19:22:09 GMT","Knowledge of Retail / eCommerce / Omnichannel is a plus. Cognizant’s Consumer Goods Vertical has a large and successful Consulting and IT Services delivery...","http://www.indeed.com/viewjob?jk=0066bf742b87790d&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaM8TIMAEkUH8PxiEn_8R2TjBY_y8p0WUK9-Zll8go052cktPcgXrWU9PBadjaohTO6DBfhE8IgzO_q_LQgY-_NZ&indpubnum=4336336693914377&atk=1a7kk71vc544rahu","indeed_clk(this, '5728');","0066bf742b87790d","false","false","false","Dallas, TX","5 days ago","false"
"Retail Merchandising Stock Associate","Office Depot","Dallas","TX","US","Dallas, TX","Office Depot OfficeMax","Thu, 03 Dec 2015 06:53:00 GMT","Previous retail inventory and/or sales/customer service experience is considered an asset. The Merchandising Stock Associate ensures freight is processed...","http://www.indeed.com/viewjob?jk=aa870f5af08ac5fc&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaM8TIMAEkUH8PxiEn_8R2TjBY_y8p0WUK9-Zll8go052cktPcgXrWU9PBadjaohTO6DBfhE8IgzO_q_LQgY-_NZ&indpubnum=4336336693914377&atk=1a7kk71vc544rahu","indeed_clk(this, '5728');","aa870f5af08ac5fc","false","false","false","Dallas, TX","25 days ago","false"
"Retail Associate (Clerk, Cashier)","Goodwill Industries of Dallas","Dallas","TX","US","Dallas, TX","Goodwill Industries of Dallas","Tue, 22 Dec 2015 19:35:54 GMT","Retail Clerk Responsibilities:. Regular Retail Hours Mon - Sun. Stock, straighten, count and pull merchandise in the store....","http://www.indeed.com/viewjob?jk=8cf11be5d7deea4b&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaM8TIMAEkUH8PxiEn_8R2TjBY_y8p0WUK9-Zll8go052cktPcgXrWU9PBadjaohTO6DBfhE8IgzO_q_LQgY-_NZ&indpubnum=4336336693914377&atk=1a7kk71vc544rahu","indeed_clk(this, '5728');","8cf11be5d7deea4b","false","false","true","Dallas, TX","5 days ago","false"
"Retail Sales Consultant","OfficeMax","Dallas","TX","US","Dallas, TX","Office Depot OfficeMax","Fri, 11 Dec 2015 09:59:00 GMT","The Retail Sales Associate/Sales Consultant is responsible for engaging and providing an exceptional customer service experience....","http://www.indeed.com/viewjob?jk=73c2f52b7fe42787&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaM8TIMAEkUH8PxiEn_8R2TjBY_y8p0WUK9-Zll8go052cktPcgXrWU9PBadjaohTO6DBfhE8IgzO_q_LQgY-_NZ&indpubnum=4336336693914377&atk=1a7kk71vc544rahu","indeed_clk(this, '5728');","73c2f52b7fe42787","false","false","false","Dallas, TX","17 days ago","false"
"Retail Sales Associate","T-Mobile","Dallas","TX","US","Dallas, TX","T-Mobile","Sat, 19 Dec 2015 14:24:00 GMT","Retail Sales Associate. Customers pay a visit to your retail store location—some may be browsing, and some may be ready to buy....","http://www.indeed.com/viewjob?jk=d03209aca72e5685&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaM8TIMAEkUH8PxiEn_8R2TjBY_y8p0WUK9-Zll8go052cktPcgXrWU9PBadjaohTO6DBfhE8IgzO_q_LQgY-_NZ&indpubnum=4336336693914377&atk=1a7kk71vc544rahu","indeed_clk(this, '5728');","d03209aca72e5685","false","false","false","Dallas, TX","9 days ago","false"
"Retail Customer Service Associate","FedEx Office","Dallas","TX","US","Dallas, TX","FedEx Office","Wed, 23 Dec 2015 18:05:00 GMT","Stays current on retail Center merchandising materials and ensures proper display of all retail area product and signage....","http://www.indeed.com/viewjob?jk=e720de84ff2beeea&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaM8TIMAEkUH8PxiEn_8R2TjBY_y8p0WUK9-Zll8go052cktPcgXrWU9PBadjaohTO6DBfhE8IgzO_q_LQgY-_NZ&indpubnum=4336336693914377&atk=1a7kk71vc544rahu","indeed_clk(this, '5728');","e720de84ff2beeea","false","false","false","Dallas, TX 75202","4 days ago","false"
"AT&T Retail Sales Consultant","AT&T","Dallas","TX","US","Dallas, TX","AT&T","Mon, 21 Dec 2015 20:02:26 GMT","AT&amp;T Wireless, Sales, retail, customer service, sales associate, sales representative, sales consultant, telecommunications, cell phones, commission, retail...","http://www.indeed.com/viewjob?jk=2e1895ee72ac7699&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaM8TIMAEkUH8PxiEn_8R2TjBY_y8p0WUK9-Zll8go052cktPcgXrWU9PBadjaohTO6DBfhE8IgzO_q_LQgY-_NZ&indpubnum=4336336693914377&atk=1a7kk71vc544rahu","indeed_clk(this, '5728');","2e1895ee72ac7699","false","false","true","Dallas, TX","6 days ago","false"
"Retail Merchandiser - Cosmetic/Blitz Resets","Match Marketing Group","Dallas","TX","US","Dallas, TX","Indeed","Sat, 19 Dec 2015 10:32:04 GMT","And retail optimization. In an increasingly complex retail environment, only MatchMG has the technology, retail specialized fulfillment &amp; logistics integrated...","http://www.indeed.com/viewjob?jk=48def016e67372a0&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaM8TIMAEkUH8PxiEn_8R2TjBY_y8p0WUK9-Zll8go052cktPcgXrWU9PBadjaohTO6DBfhE8IgzO_q_LQgY-_NZ&indpubnum=4336336693914377&atk=1a7kk71vc544rahu","indeed_clk(this, '5728');","48def016e67372a0","false","false","true","Dallas, TX","9 days ago","true"
