jobtitle,company,city,state,country,formattedLocation,source,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,noUniqueUrl
"Retail Sales Associate","T-Mobile","Los Angeles","CA","US","Los Angeles, CA","T-Mobile","Tue, 22 Dec 2015 00:18:43 GMT","Retail Sales Associate. Customers pay a visit to your retail store location—some may be browsing, and some may be ready to buy....","http://www.indeed.com/viewjob?jk=fec4347b7c82c946&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaNSz6wwoEodpwANVBb6aX6Hd_zgb_2U9wCcSB8wTJnI9bHyowIsBhC7o7kmbTMFt9Aep6I5-twM7jC8td-9rGTG&indpubnum=4336336693914377&atk=1a7kk80085m92c77","indeed_clk(this, '6380');","fec4347b7c82c946","false","false","false","Los Angeles, CA","6 days ago","false"
"Director of Corporate Accounts-Retail","Stericycle","Los Angeles","CA","US","Los Angeles, CA","Stericycle","Fri, 18 Dec 2015 03:09:15 GMT","Must have retail client experience and account maintenance exceeding $20 Mil dollars. Maintains the ability to suggest and implement strategies and solutions...","http://www.indeed.com/viewjob?jk=2b326072c23fd5c8&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaNSz6wwoEodpwANVBb6aX6Hd_zgb_2U9wCcSB8wTJnI9bHyowIsBhC7o7kmbTMFt9Aep6I5-twM7jC8td-9rGTG&indpubnum=4336336693914377&atk=1a7kk80085m92c77","indeed_clk(this, '6380');","2b326072c23fd5c8","false","false","false","Los Angeles, CA","10 days ago","false"
"US Desktop Support (Fashion Retail)","Cortissoz Consulting LLC","Los Angeles","CA","US","Los Angeles, CA","Indeed","Mon, 28 Dec 2015 11:55:45 GMT","(supporting vertical retail, wholesale and other areas). World-renown luxury fashion retailer is searching for a _*US Desktop Support Administrator*_ (Los...","http://www.indeed.com/viewjob?jk=0f8512a7169c85b5&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaNSz6wwoEodpwANVBb6aX6Hd_zgb_2U9wCcSB8wTJnI9bHyowIsBhC7o7kmbTMFt9Aep6I5-twM7jC8td-9rGTG&indpubnum=4336336693914377&atk=1a7kk80085m92c77","indeed_clk(this, '6380');","0f8512a7169c85b5","false","false","true","Los Angeles, CA","3 hours ago","true"
"AT&T Retail Sales Consultant","AT&T","Los Angeles","CA","US","Los Angeles, CA","AT&T","Wed, 16 Dec 2015 02:11:59 GMT","AT&amp;T Wireless, Sales, retail, customer service, sales associate, sales representative, sales consultant, telecommunications, cell phones, commission, retail...","http://www.indeed.com/viewjob?jk=b7c325bfbb199593&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaNSz6wwoEodpwANVBb6aX6Hd_zgb_2U9wCcSB8wTJnI9bHyowIsBhC7o7kmbTMFt9Aep6I5-twM7jC8td-9rGTG&indpubnum=4336336693914377&atk=1a7kk80085m92c77","indeed_clk(this, '6380');","b7c325bfbb199593","false","false","true","Los Angeles, CA","12 days ago","false"
"Retail Associate Manager","T-Mobile","Los Angeles","CA","US","Los Angeles, CA","T-Mobile","Thu, 24 Dec 2015 06:25:57 GMT","Go bold. Have fun. Lead on. It’s time to do something you love, work with a purpose, and take on a challenge like never before. Meet T-Mobile, America’s Un","http://www.indeed.com/viewjob?jk=12da9422abc9cbaf&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaNSz6wwoEodpwANVBb6aX6Hd_zgb_2U9wCcSB8wTJnI9bHyowIsBhC7o7kmbTMFt9Aep6I5-twM7jC8td-9rGTG&indpubnum=4336336693914377&atk=1a7kk80085m92c77","indeed_clk(this, '6380');","12da9422abc9cbaf","false","false","false","Los Angeles, CA","4 days ago","false"
"Senior Retail Banking Revenue Program Manager, Director","Union Bank","Los Angeles","CA","US","Los Angeles, CA","Union Bank","Thu, 24 Dec 2015 03:50:46 GMT","Reporting to the Chief Revenue Officer of Retail and Private Banking, the Senior Program Manager is responsible for setting the standards, monitoring results,...","http://www.indeed.com/viewjob?jk=d184da42f3b5125b&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaNSz6wwoEodpwANVBb6aX6Hd_zgb_2U9wCcSB8wTJnI9bHyowIsBhC7o7kmbTMFt9Aep6I5-twM7jC8td-9rGTG&indpubnum=4336336693914377&atk=1a7kk80085m92c77","indeed_clk(this, '6380');","d184da42f3b5125b","false","false","false","Los Angeles, CA","4 days ago","false"
"Appliances Retail Trainer - Part Time - Thousand Oaks, CA","ActionLink","Los Angeles","CA","US","Los Angeles, CA","ActionLink","Wed, 16 Dec 2015 01:27:37 GMT","Experience in retail sales, appliances, or training. Representatives will visit multiple retail locations within a specific territory and complete education and...","http://www.indeed.com/viewjob?jk=34042a0bbdb2a995&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaNSz6wwoEodpwANVBb6aX6Hd_zgb_2U9wCcSB8wTJnI9bHyowIsBhC7o7kmbTMFt9Aep6I5-twM7jC8td-9rGTG&indpubnum=4336336693914377&atk=1a7kk80085m92c77","indeed_clk(this, '6380');","34042a0bbdb2a995","false","false","true","Los Angeles, CA","12 days ago","false"
"Retail Sales Stock Greeter-P/T/Bilingual (Spanish) Eagle Rock Job","Time Warner Cable","Los Angeles","CA","US","Los Angeles, CA","Time Warner Cable","Sat, 19 Dec 2015 00:21:42 GMT","Retail Sales Stock Greeter-P/T/Bilingual (Spanish) Eagle Rock. Enthusiastically greet customers upon entering and exiting the Retail Store....","http://www.indeed.com/viewjob?jk=2c7627883a84ff80&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaNSz6wwoEodpwANVBb6aX6Hd_zgb_2U9wCcSB8wTJnI9bHyowIsBhC7o7kmbTMFt9Aep6I5-twM7jC8td-9rGTG&indpubnum=4336336693914377&atk=1a7kk80085m92c77","indeed_clk(this, '6380');","2c7627883a84ff80","false","false","false","Los Angeles, CA","9 days ago","false"
"Retail Management Teams - Managers/Assistant Managers","Salt & Straw","Los Angeles","CA","US","Los Angeles, CA","salt & straw","Tue, 22 Dec 2015 08:48:45 GMT","Experience as a Retail Manager, Supervisor or Lead. Be the happiest part of people’s day!...","http://www.indeed.com/viewjob?jk=3e442e2a6d8e8bcf&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaNSz6wwoEodpwANVBb6aX6Hd_zgb_2U9wCcSB8wTJnI9bHyowIsBhC7o7kmbTMFt9Aep6I5-twM7jC8td-9rGTG&indpubnum=4336336693914377&atk=1a7kk80085m92c77","indeed_clk(this, '6380');","3e442e2a6d8e8bcf","false","false","true","Los Angeles, CA","6 days ago","false"
"Retail Manager","The Cotton On Group","Los Angeles","CA","US","Los Angeles, CA","The Cotton On Group","Thu, 17 Dec 2015 22:04:21 GMT","The Cotton On Kids Retail Manager will. You are an experienced multi-site retail manager, looking for that next challenge in your career....","http://www.indeed.com/viewjob?jk=b44989c99263f4e4&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaNSz6wwoEodpwANVBb6aX6Hd_zgb_2U9wCcSB8wTJnI9bHyowIsBhC7o7kmbTMFt9Aep6I5-twM7jC8td-9rGTG&indpubnum=4336336693914377&atk=1a7kk80085m92c77","indeed_clk(this, '6380');","b44989c99263f4e4","false","false","false","Los Angeles, CA","10 days ago","false"
