jobtitle,company,city,state,country,formattedLocation,source,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,noUniqueUrl
"Strategy & Operations Retail & Distribution: Strategy Senior Manager","Deloitte","New York","NY","US","New York, NY","Deloitte","Sat, 26 Dec 2015 07:42:14 GMT","Retail &amp; Distribution Strategy Senior Manager. Retail, wholesale, distribution, strategy, operations, performance improvement, stores, merchandising, planning,...","http://www.indeed.com/viewjob?jk=40f1100628ce9d94&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaMM8nWN-TiI8je7hVB8-DfAHvu9fy0o6362Q3WfVqbDboVO35tny0eGJ9ZnLIv1GJWptQI94s5DsPOzRyYMc52A&indpubnum=4336336693914377&atk=1a7jh9fmi5350b52","indeed_clk(this, '5169');","40f1100628ce9d94","false","false","false","New York, NY","1 day ago","false"
"Retail Operations Intern","Assouline Publishing Inc.","New York","NY","US","New York, NY","Indeed","Mon, 14 Dec 2015 20:54:14 GMT","Retail Operations Intern. Experience in a luxury retail environment. In conjunction with Retail and Operations teams, update Retail order forms with new titles,...","http://www.indeed.com/viewjob?jk=cd516934472fbce9&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaMM8nWN-TiI8je7hVB8-DfAHvu9fy0o6362Q3WfVqbDboVO35tny0eGJ9ZnLIv1GJWptQI94s5DsPOzRyYMc52A&indpubnum=4336336693914377&atk=1a7jh9fmi5350b52","indeed_clk(this, '5169');","cd516934472fbce9","false","false","true","New York, NY","13 days ago","true"
"Retail Leasing Broker","Eastern Consolidated","New York","NY","US","New York, NY","Eastern Consolidated","Sat, 26 Dec 2015 06:06:00 GMT","Retail Leasing Broker. Advise clients during property acquisition, redevelopment and leasing retail space. Evaluate local markets, trends and demographics to...","http://www.indeed.com/viewjob?jk=3fad7c8823f4e811&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaMM8nWN-TiI8je7hVB8-DfAHvu9fy0o6362Q3WfVqbDboVO35tny0eGJ9ZnLIv1GJWptQI94s5DsPOzRyYMc52A&indpubnum=4336336693914377&atk=1a7jh9fmi5350b52","indeed_clk(this, '5169');","3fad7c8823f4e811","false","false","true","New York, NY","1 day ago","false"
"Retail Trainer - East","Godiva Chocolatier Inc.","New York","NY","US","New York, NY","Godiva Chocolatier Inc.","Sun, 27 Dec 2015 08:31:24 GMT","Strong experience in field retail training. The retail trainer position collaborates closely with the Field retail and wholesale organizations as well as global...","http://www.indeed.com/viewjob?jk=856be74955a6c44e&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaMM8nWN-TiI8je7hVB8-DfAHvu9fy0o6362Q3WfVqbDboVO35tny0eGJ9ZnLIv1GJWptQI94s5DsPOzRyYMc52A&indpubnum=4336336693914377&atk=1a7jh9fmi5350b52","indeed_clk(this, '5169');","856be74955a6c44e","false","false","false","New York, NY","21 hours ago","false"
"Retail Store Manager (NYC)","Shinola","New York","NY","US","New York, NY","Shinola","Mon, 28 Dec 2015 04:22:17 GMT","Retail experience in the textile, apparel, or watch industry highly preferred. Shinola is searching for entrepreneurial minded individuals ready to join our...","http://www.indeed.com/viewjob?jk=ccfe452141e61648&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaMM8nWN-TiI8je7hVB8-DfAHvu9fy0o6362Q3WfVqbDboVO35tny0eGJ9ZnLIv1GJWptQI94s5DsPOzRyYMc52A&indpubnum=4336336693914377&atk=1a7jh9fmi5350b52","indeed_clk(this, '5169');","ccfe452141e61648","false","false","false","New York, NY 10013","1 hour ago","false"
"Retail Sales Associate","Maison Kitsune - Rivington","New York","NY","US","New York, NY","Indeed","Wed, 23 Dec 2015 17:47:17 GMT","Available to work retail hours; RETAIL SALES ASSOCIATE - Maison Kitsune at Rivington*. 6 months of retail selling experience (in luxury fashion, is a definite...","http://www.indeed.com/viewjob?jk=9b530bcb099c08ad&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaMM8nWN-TiI8je7hVB8-DfAHvu9fy0o6362Q3WfVqbDboVO35tny0eGJ9ZnLIv1GJWptQI94s5DsPOzRyYMc52A&indpubnum=4336336693914377&atk=1a7jh9fmi5350b52","indeed_clk(this, '5169');","9b530bcb099c08ad","false","false","true","New York, NY","4 days ago","true"
"Retail Associate","Carlo's Bakery","New York","NY","US","New York, NY","Carlo's Bakery","Mon, 21 Dec 2015 06:16:59 GMT","As a Carlos Bakery Retail Associate, your role is to ensure a positive customer experience by providing courteous, friendly, and efficient customer service to...","http://www.indeed.com/viewjob?jk=d01336ab07f6dc45&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaMM8nWN-TiI8je7hVB8-DfAHvu9fy0o6362Q3WfVqbDboVO35tny0eGJ9ZnLIv1GJWptQI94s5DsPOzRyYMc52A&indpubnum=4336336693914377&atk=1a7jh9fmi5350b52","indeed_clk(this, '5169');","d01336ab07f6dc45","false","false","false","New York, NY","6 days ago","false"
"FX Salesperson","Natixis","New York","NY","US","New York, NY","Natixis","Sun, 13 Dec 2015 10:37:11 GMT","FX Sales Essential duties and responsibilities: Market and prospects Fixed Income products to a select portfolio of clients. Focus on foreign-exchange","http://www.indeed.com/viewjob?jk=7c727d3b6600551e&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaMM8nWN-TiI8je7hVB8-DfAHvu9fy0o6362Q3WfVqbDboVO35tny0eGJ9ZnLIv1GJWptQI94s5DsPOzRyYMc52A&indpubnum=4336336693914377&atk=1a7jh9fmi5350b52","indeed_clk(this, '5169');","7c727d3b6600551e","false","false","false","New York, NY","14 days ago","false"
"MANAGER, RETAIL DEVELOPMENT","Viacom","New York","NY","US","New York, NY","Viacom","Tue, 22 Dec 2015 18:29:27 GMT","Work with the Retail Marketing team to execute marketing and retail specific promotional programs for assigned retailers....","http://www.indeed.com/viewjob?jk=62010ce4e9399abf&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaMM8nWN-TiI8je7hVB8-DfAHvu9fy0o6362Q3WfVqbDboVO35tny0eGJ9ZnLIv1GJWptQI94s5DsPOzRyYMc52A&indpubnum=4336336693914377&atk=1a7jh9fmi5350b52","indeed_clk(this, '5169');","62010ce4e9399abf","false","false","false","New York, NY","5 days ago","false"
"Retail Project Manager","ANC","New York","NY","US","New York, NY","Indeed","Wed, 23 Dec 2015 21:21:59 GMT","Retail Project Management:. ANC Sports Enterprises is seeking a project manager to be responsible for spearheading the deployment of the company’s signage...","http://www.indeed.com/viewjob?jk=cbe072e995716c0c&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaMM8nWN-TiI8je7hVB8-DfAHvu9fy0o6362Q3WfVqbDboVO35tny0eGJ9ZnLIv1GJWptQI94s5DsPOzRyYMc52A&indpubnum=4336336693914377&atk=1a7jh9fmi5350b52","indeed_clk(this, '5169');","cbe072e995716c0c","false","false","true","New York, NY","4 days ago","true"
