jobtitle,company,city,state,country,formattedLocation,source,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,noUniqueUrl
"Retail Sales Consultant","A Wireless / Verizon Wireless Premium Retailer","Newark","NJ","US","Newark, NJ","Indeed","Mon, 21 Dec 2015 14:11:19 GMT","Minimum of one year of retail sales experience. We currently need a full-time Sales Consultant.When a customer enters an A Wireless retail outlet, they are...","http://www.indeed.com/viewjob?jk=800fc75d5eb5da23&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaN3qczy2pnrStJlL7F9p0kPTeYT-3oKkhehNya3GO3AgiV0jK6AT3k-HAt-7I8D_QM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8m0v5ud1at3","indeed_clk(this, '8756');","800fc75d5eb5da23","false","false","true","Newark, NJ","7 days ago","true"
"Weekend Retail Sales Representative - Electronics - Union, NJ","ActionLink","Newark","NJ","US","Newark, NJ","ActionLink","Fri, 04 Dec 2015 06:52:19 GMT","We are seeking a Weekend Computer Retail Sales Specialist in your area to join our team! Electronics, merchandising, merchandiser, merchandise, set, reset,...","http://www.indeed.com/viewjob?jk=92493216a5670096&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaN3qczy2pnrStJlL7F9p0kPTeYT-3oKkhehNya3GO3AgiV0jK6AT3k-HAt-7I8D_QM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8m0v5ud1at3","indeed_clk(this, '8756');","92493216a5670096","false","false","true","Newark, NJ","24 days ago","false"
"M-Retail Sales Associate","MetroPCS","Newark","NJ","US","Newark, NJ","MetroPCS","Fri, 11 Dec 2015 17:37:04 GMT","Retail Sales Associate. Customers visit your retail store—some may be browsing, and some may be ready to buy....","http://www.indeed.com/viewjob?jk=8cf7054622ba2d11&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaN3qczy2pnrStJlL7F9p0kPTeYT-3oKkhehNya3GO3AgiV0jK6AT3k-HAt-7I8D_QM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8m0v5ud1at3","indeed_clk(this, '8756');","8cf7054622ba2d11","false","false","false","Newark, NJ","16 days ago","false"
"Supervisor for Retail Location","Kieffer Technology","Newark","NJ","US","Newark, NJ","Kieffer Technology","Mon, 14 Dec 2015 07:38:37 GMT","Our clients?ranging from financial institutions to multinational corporations to government agencies?come to us for guidance when they?re operating in","http://www.indeed.com/viewjob?jk=72f53ffcfbaab54f&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaN3qczy2pnrStJlL7F9p0kPTeYT-3oKkhehNya3GO3AgiV0jK6AT3k-HAt-7I8D_QM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8m0v5ud1at3","indeed_clk(this, '8756');","72f53ffcfbaab54f","false","false","false","Newark, NJ","14 days ago","false"
"Inventory Associate - Retail Warehouse Stockroom - Entry Level Customer Service","WIS International","Newark","NJ","US","Newark, NJ","WIS International","Fri, 25 Dec 2015 20:35:00 GMT","WIS International remains one of the world’s leading inventory and retail service providers. WIS International is hiring Retail Inventory Associates to help in...","http://www.indeed.com/viewjob?jk=c358192c4e3d95de&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaN3qczy2pnrStJlL7F9p0kPTeYT-3oKkhehNya3GO3AgiV0jK6AT3k-HAt-7I8D_QM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8m0v5ud1at3","indeed_clk(this, '8756');","c358192c4e3d95de","false","false","false","Newark, NJ","2 days ago","false"
"Inventory Associate - Retail Warehouse Stockroom - Entry Level Customer Service","WIS International","Harrison","NJ","US","Harrison, NJ","WIS International","Mon, 28 Dec 2015 02:41:00 GMT","WIS International remains one of the world’s leading inventory and retail service providers. WIS International is hiring Retail Inventory Associates to help in...","http://www.indeed.com/viewjob?jk=c5e005c485a9f816&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaN3qczy2pnrStJlL7F9p0kPTeYT-3oKkhehNya3GO3AgiV0jK6AT3k-HAt-7I8D_QM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8m0v5ud1at3","indeed_clk(this, '8756');","c5e005c485a9f816","false","false","false","Harrison, NJ","13 hours ago","false"
"Part Time – Field Retail Merchandising Representative - Entry Level Customer Service","WIS International","Newark","NJ","US","Newark, NJ","WIS International","Sat, 19 Dec 2015 20:39:51 GMT","Part Time Retail Merchandisers don’t need experience. WIS International remains one of the world’s leading inventory and retail service providers....","http://www.indeed.com/viewjob?jk=e493131366783fa8&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaN3qczy2pnrStJlL7F9p0kPTeYT-3oKkhehNya3GO3AgiV0jK6AT3k-HAt-7I8D_QM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8m0v5ud1at3","indeed_clk(this, '8756');","e493131366783fa8","false","false","false","Newark, NJ","8 days ago","false"
"Territory Manager - Retail","Valspar","Newark","NJ","US","Newark, NJ","CareerBuilder","Wed, 23 Dec 2015 01:44:45 GMT","Retail Territory Manager Responsibilities. Assist retail customers with product purchase. Valspar is currently seeking a Retail Territory Manager in the Clinton...","http://www.indeed.com/viewjob?jk=675bb26deb2b6805&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaN3qczy2pnrStJlL7F9p0kPTeYT-3oKkhehNya3GO3AgiV0jK6AT3k-HAt-7I8D_QM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8m0v5ud1at3","indeed_clk(this, '8756');","675bb26deb2b6805","false","false","false","Newark, NJ","5 days ago","false"
"Assistant Store Manager - Retail Sales / Customer Service - Newark","Extra Space Storage","Newark","NJ","US","Newark, NJ","Extra Space Storage","Wed, 16 Dec 2015 01:44:17 GMT","Great retail sales environment without the retail hours! It is retail, so you will get the chance to sell/upsell high quality retail merchandise such as boxes,...","http://www.indeed.com/viewjob?jk=f07885f3abf28d70&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaN3qczy2pnrStJlL7F9p0kPTeYT-3oKkhehNya3GO3AgiV0jK6AT3k-HAt-7I8D_QM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8m0v5ud1at3","indeed_clk(this, '8756');","f07885f3abf28d70","false","false","false","Newark, NJ 07112","12 days ago","false"
"New Jersey: Retail Merchandiser, Newark, NJ","LEGO","Newark","NJ","US","Newark, NJ","Lego","Thu, 08 Oct 2015 09:01:52 GMT","Retail merchandising experience preferred. We are always looking for talented Retail Merchandisers! Representing the LEGO® Brand with best placement in all...","http://www.indeed.com/viewjob?jk=d3c7cd1eb66fd39a&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaN3qczy2pnrStJlL7F9p0kPTeYT-3oKkhehNya3GO3AgiV0jK6AT3k-HAt-7I8D_QM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8m0v5ud1at3","indeed_clk(this, '8756');","d3c7cd1eb66fd39a","false","false","false","Newark, NJ","30+ days ago","false"
"Bilingual Spanish Required Retail Sales Consultant Essex\Hudson\Union County HIT","AT&T","Newark","NJ","US","Newark, NJ","AT&T","Mon, 30 Nov 2015 09:58:00 GMT","There are retail jobs, and there are retail careers. As a Retail Sales Consultant, you’ll belong to a supportive team in a fast-paced environment....","http://www.indeed.com/viewjob?jk=f8869e731d963fe0&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaN3qczy2pnrStJlL7F9p0kPTeYT-3oKkhehNya3GO3AgiV0jK6AT3k-HAt-7I8D_QM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8m0v5ud1at3","indeed_clk(this, '8756');","f8869e731d963fe0","false","false","false","Newark, NJ","28 days ago","false"
