jobtitle,company,city,state,country,formattedLocation,source,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,noUniqueUrl
"Retail Planning and Revenue Growth Management","Coca-Cola Beverages Florida, LLC","Tampa","FL","US","Tampa, FL","Coca-Cola Beverages Florida, LLC","Thu, 24 Dec 2015 07:07:57 GMT","Retail Planning and Revenue Growth Management. The Retail Planning and Revenue Growth Management Lead provides thought leadership for the Retail Customer &amp;...","http://www.indeed.com/viewjob?jk=fe6fbf131d17b62b&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","fe6fbf131d17b62b","false","false","false","Tampa, FL","4 days ago","false"
"Retail Store Associate- Tampa 0237 2016","adidas Group","Tampa","FL","US","Tampa, FL","adidas Group","Sat, 26 Dec 2015 08:05:45 GMT","Three to six month’s experience working in a sports/fashion customer &amp; commercial focused retail environment....","http://www.indeed.com/viewjob?jk=ad2e91f2c086ed5b&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","ad2e91f2c086ed5b","false","false","false","Tampa, FL","2 days ago","false"
"Retail sales associate","T-Mobile","Tampa","FL","US","Tampa, FL","T-Mobile","Sun, 20 Dec 2015 08:24:00 GMT","Retail Sales Associate. Customers pay a visit to your retail store location—some may be browsing, and some may be ready to buy....","http://www.indeed.com/viewjob?jk=199087219208076e&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","199087219208076e","false","false","false","Tampa, FL","8 days ago","false"
"Retail Associate – Outlet of West Tampa","HSN","Tampa","FL","US","Tampa, FL","HSN","Tue, 22 Dec 2015 14:46:57 GMT","Select retail personnel may be requested to obtain a forklift license. HSN’s unique blend of Retail, Television and eCommerce create a one-of-a-kind working...","http://www.indeed.com/viewjob?jk=09dcddc1ee2745e9&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","09dcddc1ee2745e9","false","false","false","Tampa, FL","6 days ago","false"
"Retail Store Manager – FL – Tampa (Central)","CVS Health","Tampa","FL","US","Tampa, FL","CVS Health","Fri, 25 Dec 2015 15:48:14 GMT","Retail Store Manager. Minimum of 1 year experience in a retail management position Preferred Qualifications:....","http://www.indeed.com/viewjob?jk=351e0e7592eaf05b&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","351e0e7592eaf05b","false","false","false","Tampa, FL","2 days ago","false"
"Retail Sales Manager","PCS Mobile Solutions, LLC","Tampa","FL","US","Tampa, FL","PCS Mobile Solutions, LLC","Thu, 24 Dec 2015 17:46:40 GMT","Retail Sales Managers:. 1+ year wireless retail supervisory experience. As a Retail Sales Manager, you will receive:....","http://www.indeed.com/viewjob?jk=3a79618802457ae0&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","3a79618802457ae0","false","false","false","Tampa, FL","3 days ago","false"
"Retail Planning Coordinator","Ashley Furniture","Tampa","FL","US","Tampa, FL","Indeed","Mon, 14 Dec 2015 21:28:23 GMT","Proficiency in retail math. One year of experience in traditional retail planning. The Retail Planning Coordinator will work a minimum of 40 hours per week....","http://www.indeed.com/viewjob?jk=d186a44f5214fa10&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","d186a44f5214fa10","false","false","true","Tampa, FL","13 days ago","true"
"Retail Associate","Strategic Solutions","Tampa","FL","US","Tampa, FL","Indeed","Mon, 28 Dec 2015 03:03:52 GMT","Retail Sales and Customer Service selling technical products to customers. 2-5 years Retail experience (preferred but not necessary in wireless/electronics or...","http://www.indeed.com/viewjob?jk=312bf5bb7a9eb89a&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","312bf5bb7a9eb89a","false","false","true","Tampa, FL","12 hours ago","true"
"Sprint Retail Sales (Part Time)","Sprint","Tampa","FL","US","Tampa, FL","Sprint","Wed, 16 Dec 2015 20:25:24 GMT","A Sprint Retail Consultant. Six months retail sales or related experience. Connecting with our Retail Sales team means you'll:....","http://www.indeed.com/viewjob?jk=825a2e9268c743fc&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","825a2e9268c743fc","false","false","false","Tampa, FL","11 days ago","false"
"Retail Merchandiser - Cosmetic Resets","Match Marketing Group","Tampa","FL","US","Tampa, FL","Indeed","Wed, 09 Dec 2015 15:35:39 GMT","Our Cosmetic Reset teams typically work full week schedules, 8 hours per day and will travel from retail store location to retail store locations for project...","http://www.indeed.com/viewjob?jk=b580df6f09d80da0&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","b580df6f09d80da0","false","false","true","Tampa, FL","19 days ago","true"
"Title Insurance Salesperson","Landcastle Title Company","Tampa","FL","US","Tampa, FL","Indeed","Fri, 04 Dec 2015 18:55:37 GMT","Landcastle Title Company has an exciting opportunity for an experienced Title Insurance Sales Rep, Realtor or Mortgage loan officer to be a Tampa area...","http://www.indeed.com/viewjob?jk=95020533d4a206b3&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","95020533d4a206b3","false","false","true","Tampa, FL","23 days ago","true"
"Retail Merchandising Stock Associate","Office Depot","Tampa","FL","US","Tampa, FL","Office Depot OfficeMax","Fri, 20 Nov 2015 06:40:58 GMT","Previous retail inventory and/or sales/customer service experience is considered an asset. The Merchandising Stock Associate ensures freight is processed...","http://www.indeed.com/viewjob?jk=9860cd00110e76a5&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","9860cd00110e76a5","false","false","false","Tampa, FL","30+ days ago","false"
"Retail Sales Representative","T-Mobile / GP Mobile","Tampa","FL","US","Tampa, FL","Indeed","Tue, 08 Dec 2015 18:58:15 GMT","Sales, Retail, or Customer Service:. Previous retail or customer service-oriented experience required. Retail Sales Representatives are paid a competitive...","http://www.indeed.com/viewjob?jk=85d90f8c667a9bd4&qd=m1xOB94XTCm6mLs-w7aewTOvHlczHMA9OWh6KD5D6VHKk3pDTyhHp5-2cqd1J3Scbd_EzAfu4daW0PswHQ0EDMXSmLpUnNc6TgruqvNDUaPCliVokYEKA5O9vG5PCuG84hskeWBVA6WQ4uzasnzBRAOcjqNAvNPVsHQpqOvtrpI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4336336693914377&atk=1a7kk8u7s50kr9c6","indeed_clk(this, '7166');","85d90f8c667a9bd4","false","false","true","Tampa, FL","19 days ago","true"
